360 nm-cone	CL:0004162
5-HT neuron	CL:0000850
5-HT secreting cell	CL:0000458
5-Hydroxytryptamine secreting cell	CL:0000458
5-hydroxytryptamine neuron	CL:0000850
A Horizontal Cell	CL:0004217
A-like	CL:0002284
A2 amacrine cell	CL:0004219
A2-like amacrine cell	CL:0004229
A7 cell (Mus musculus)	CL:4023010
AB broad diffuse-1 amacrine cell	CL:0004235
AB broad diffuse-2 amacrine cell	CL:0004236
AB cell	CL:4023097
AB diffuse-1 amacrine cell	CL:0004223
AB diffuse-2 amacrine cell	CL:0004224
ABC	CL:4023097
AC	CL:0000561
ACTH secreting cell	CL:0000467
ACs	CL:0000561
AF1	CL:4028004
AF2	CL:4028006
AGM hematopoietic stem cell	CL:0002360
AP	CL:4033057
APC	CL:0000145
APUD cell	CL:0000568
ARC	CL:0000669
ARP	CL:4042022
AT1	CL:0002062
AT2	CL:0002063
ATI	CL:0002062
ATII	CL:0002063
AV	CL:4033057
AV bundle cell	CL:0010005
AV nodal myocyte	CL:1000410
AV node cardiac muscle cell	CL:1000410
AV node cell	CL:1000410
AdvF	CL:4028006
Ammon's horn basket cell	CL:2000088
Askanazy cells	CL:0002200
B Horizontal Cell	CL:0004218
B cell	CL:0000236
B cell of anorectum	CL:0009050
B cell of appendix	CL:0009032
B cell of appendix vermiformis	CL:0009032
B cell of medullary sinus of lymph node	CL:0009045
B cell of vermiform appendix	CL:0009032
B cell zone reticular cell	CL:0009104
B lymphocyte	CL:0000236
B-IC	CL:4030005
B-Myo cell	CL:0002324
B-cell	CL:0000236
B-cell of pancreatic islet	CL:0000169
B-lymphoblast	CL:0017006
B-lymphocyte	CL:0000236
BAM	CL:4042003
BASC	CL:0002638
BB cell	CL:4033019
BB cone bipolar cell	CL:0000761
BC	CL:0000748
BCs	CL:0000748
BEST4+ colonocyte	CL:4047052
BEST4+ enteroycte	CL:4030026
BFU-E	CL:0000038
BJ fibroblast	CL:1001608
BM	CL:0002324
BMSC	CL:0000134
BPs	CL:0000748
Bergmann astrocyte	CL:0000644
Bergmann glial cell	CL:0000644
Bergmann glial cell of cerebellum	CL:0000644
Betz cell	CL:0008049
Betz upper motor neuron	CL:4023052
Boettcher cell	CL:0002084
Boettcher's cell	CL:0002084
Bottcher cell	CL:0002084
Bottcher's cell	CL:0002084
Bowmans capsule epithelial cell	CL:1000450
CAM	CL:4042003
CAP motoneuron	CL:0000532
CAP1	CL:4028002
CBFs	CL:4052008
CCK cell	CL:0002277
CD115-positive monocyte OR common dendritic progenitor	CL:0001019
CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor	CL:0001030
CD133-positive prostate epithelial cell	CL:0002339
CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	CL:4030038
CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	CL:0000995
CD4-CD8- T cell	CL:0002489
CD4-negative, CD8-negative, alpha-beta regulatory T cells	CL:0011024
CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor	CL:0001012
CD8aa(I) thymocyte	CL:0009068
CD8aa(II) thymocyte	CL:0009069
CD94- Ly49I-negative NK cell	CL:0002442
CD94-negative, Ly49CI-negative natural killer cell, mouse	CL:0002442
CFU-E	CL:0000038
CFU-EM	CL:0000050
CFU-F	CL:0000134
CFU-GEMM	CL:0000049
CFU-Meg	CL:0000553
CFU-MegE	CL:0000050
CFU-S	CL:0000049
CGE cortical interneuron	CL:4023064
CGE interneuron	CL:4023064
CGE-derived GABAergic IN	CL:4023064
CGE-derived cell	CL:4023064
CGE-derived interneuron	CL:4023064
CLP	CL:0000051
CMP	CL:0000049
CNS interneuron	CL:0000402
CNS long range interneuron	CL:0000410
CNS macrophage	CL:0000878
CNS neuron	CL:0000028
CNS neuron	CL:0000117
CNS short range interneuron	CL:0000406
CNS-associated macrophage	CL:4042003
COP	CL:4023059
CPC	CL:0002664
CR cells	CL:0000695
CT VAL/VM M1	CL:4023055
CT VAL/VM MOp	CL:4023055
CT projecting neuron	CL:4023013
CTFs	CL:4052009
Caenorhabditis hypodermal cell	CL:0000411
Cajal-Retzius cell	CL:0000695
Ccl19-expressing fibroblastic reticular cell	CL:4052004
ChC	CL:4023083
Chandelier PV	CL:4023036
Clara cell	CL:0000158
Claudius cell	CL:0000634
D cell	CL:0000502
D-cell of pancreatic islet	CL:0000173
D1-ICj	CL:4030053
D1-MSN	CL:4023026
D1-NUDAP	CL:4030054
D1-matrix	CL:4030043
D1-striosome	CL:4030048
D1/2	CL:4030050
D1/D2 hybrid	CL:4030050
D1/D2-hybrid MSN	CL:4030050
D1/D2-hybrid medium spiny neuron	CL:4030050
D1M	CL:4030043
D1S	CL:4030048
D1Sh	CL:4030051
D2-MSN	CL:4023029
D2-matrix	CL:4030047
D2-striosome	CL:4030049
D2M	CL:4030047
D2S	CL:4030049
D2Sh	CL:4030052
DAPI-3 amacrine cell	CL:0004233
DB1 bipolar	CL:4033027
DB1 bipolar cell	CL:4033027
DB1 cell	CL:4033027
DB1 cone bipolar cell	CL:0000753
DB2 cell	CL:4033028
DB2 cone bipolar cell	CL:0000755
DB3 cell	CL:4033029
DB3 cone bipolar cell	CL:0000756
DB3a cell	CL:4033029
DB3b cell	CL:4033030
DB4 cell	CL:4033031
DB4 cone bipolar cell	CL:0000757
DB5 cone bipolar cell	CL:0000758
