tinyId,permissibleValue,valueMeaningDefinition,conceptId,conceptSource,valueMeaningName,codeSystemName,valueMeaningCode,codeSystemVersion
__56aZODow,43,NA,NA,NA,43,NA,NA,NA
__HNDvU9S,11,NA,NA,NA,11,11,11,NA
__hUdEDyc_,2,NA,NA,NA,2,NA,NA,NA
__oh2OSmp2,4,NA,NA,NA,4,NA,NA,NA
__Q03mBp7,4,NA,NA,NA,4,NA,NA,NA
__vDtCHpSX,2,2,NA,NA,2,NA,NA,NA
__VKXj7eX7,2,NA,NA,NA,2,NA,NA,NA
_1rsWOezYcW,5,5,NA,NA,5,NA,NA,NA
_1YoTU8LZ,3,NA,NA,NA,3,3,3,NA
_2zOln9Hcf,5,NA,NA,NA,5,NA,NA,NA
_3qWO0n6cy,5,NA,NA,NA,5,NA,NA,NA
_46rKqXcFTC,2,2,NA,NA,2,NA,NA,NA
_48Ap_9a3w,8,8,NA,NA,8,NA,NA,NA
_4O9caic7,2,2,NA,NA,2,NA,NA,NA
_4Wk9uR83Gj,4,4,NA,NA,4,NA,NA,NA
_539bM1spOt,32,32,NA,NA,32,NA,NA,NA
_56fq9ZOD_,5,NA,NA,NA,5,NA,NA,NA
_5Dt4vRo7aZ,4,4,NA,NA,4,NA,NA,NA
_5FHKwpGBn,2,NA,NA,NA,2,NA,NA,NA
_5S9zEKk6P_,2,2,NA,NA,2,NA,NA,NA
_6eN8icj6e,5,NA,NA,NA,5,NA,NA,NA
_6Juz8akHgk,2,2,NA,NA,2,NA,NA,NA
_7Mn021tnN,2,2,NA,NA,2,NA,NA,NA
_7mYKY6Xxb,5,NA,NA,NA,5,NA,NA,NA
_8c28Bby9D1,2,2,NA,NA,2,NA,NA,NA
_8CvXVwytsh,5,5,NA,NA,5,NA,NA,NA
_8juayWyRwY,6,6,NA,NA,6,NA,NA,NA
_9ajBoAGpqX,4,4,NA,NA,4,NA,NA,NA
_9sj7BWE9,4,NA,NA,NA,4,4,4,NA
_9spDhOdOW,5,NA,NA,NA,5,NA,NA,NA
_9tYgKnDUWP,2,2,NA,NA,2,NA,NA,NA
_a7CgVDWf,5,NA,NA,NA,5,NA,NA,NA
_AeiKLAOR,12,NA,NA,NA,12,NA,NA,NA
_AjytDMcRWD,10,10,NA,NA,10,NA,NA,NA
_aNE8R6lj,6,NA,NA,NA,6,NA,NA,NA
_AwrfGuZh5Q,17,17,NA,NA,17,NA,NA,NA
_b7qeeaP0B,5,NA,NA,NA,5,NA,NA,NA
_BtCFPw9Gf,5,NA,NA,NA,5,NA,NA,NA
_bVnqUa0Vc_,3,3,NA,NA,3,NA,NA,NA
_C37DT17aFp,20,NA,NA,NA,20,NA,NA,NA
_C7QpZt3qy,5,NA,NA,NA,5,NA,NA,NA
_cRFJ3t7KH,2,NA,NA,NA,2,NA,NA,NA
_csU_CmNk6s,7,7,NA,NA,7,NA,NA,NA
_dADsFozw_Y,3,3,NA,NA,3,NA,NA,NA
_DBk3oYhjwT,2,2,NA,NA,2,NA,NA,NA
_DC49dD1cCW,2,2,NA,NA,2,NA,NA,NA
_dmabCfsRQ9,4,4,NA,NA,4,NA,NA,NA
_dmPwa_S3Ad,2,2,NA,NA,2,NA,NA,NA
_dnGk2TeHaR,2,2,NA,NA,2,NA,NA,NA
_dyMMxdAo,8,8,NA,NA,8,NA,NA,NA
_EBt7Bg8lk,5,5,NA,NA,5,NA,NA,NA
_ECZiw4yaJ,5,NA,NA,NA,5,NA,NA,NA
_EIriDGzT,3,3,NA,NA,3,NA,NA,NA
_EmBBUhJS,3,3,NA,NA,3,NA,NA,NA
_EnjRz05FRd,8,8,NA,NA,8,NA,NA,NA
_eP9U0KZgSY,4,4,NA,NA,4,NA,NA,NA
_fEq_U2_Ie,2,NA,NA,NA,2,NA,NA,NA
_FSPRQhB2Bo,21,NA,NA,NA,21,NA,NA,NA
_GBbkAn25Uf,2,2,NA,NA,2,NA,NA,NA
_gcKUP9TF90,3,3,NA,NA,3,NA,NA,NA
_gdEUa1bLN,5,NA,NA,NA,5,NA,NA,NA
_GeABOn2Xdu,3,3,NA,NA,3,NA,NA,NA
_GJCHeg9qHw,3,3,NA,NA,3,NA,NA,NA
_gjr6X7Y79,5,NA,NA,NA,5,NA,NA,NA
_GNX_EXojYK,4,4,NA,NA,4,NA,NA,NA
_GRRNxxXgaq,2,2,NA,NA,2,NA,NA,NA
_H1GKOzHE6,5,NA,NA,NA,5,NA,NA,NA
_HFNO4JWtR8,5,5,NA,NA,5,NA,NA,NA
_HLiRrSuPU,4,4,NA,NA,4,NA,NA,NA
_HLvIOIsh9,6,NA,NA,NA,6,6,6,NA
_hM_DNK4tP,2,NA,NA,NA,2,NA,NA,NA
_HMoNYAArxd,13,13,NA,NA,13,NA,NA,NA
_HS93xPO5PZ,4,4,NA,NA,4,NA,NA,NA
_i_wy_O_5,4,NA,NA,NA,4,NA,NA,NA
_i3innbHg_,4,NA,NA,NA,4,NA,NA,NA
_j1r6_NeW,6,6,NA,NA,6,NA,NA,NA
_J9Bjngdj0,6,NA,NA,NA,6,NA,NA,NA
_j9ZU2sJ1G,2,NA,NA,NA,2,NA,NA,NA
_JB_9rTA74o,3,3,NA,NA,3,NA,NA,NA
_JcMyi9YS,5,NA,NA,NA,5,NA,NA,NA
_JGAhHIqB,1,NA,NA,NA,1,NA,NA,NA
_jIhuEoBk,7,7,NA,NA,7,NA,NA,NA
_JN2b8z_K6,3,NA,NA,NA,3,NA,NA,NA
_jOUOF7zn8p,4,4,NA,NA,4,NA,NA,NA
_k6YWO6Jd,15,NA,NA,NA,15,NA,NA,NA
_kAUgD8xsS,2,2,NA,NA,2,NA,NA,NA
_KKndMuU8,2,NA,NA,NA,2,NA,NA,NA
_KMPX_mVN,2,2,NA,NA,2,NA,NA,NA
_KPXOPILDJ,2,NA,NA,NA,2,NA,NA,NA
_l4FFvNLTg,4,NA,NA,NA,4,NA,NA,NA
_l55yZsSER,5,NA,NA,NA,5,NA,NA,NA
_LaDj7bFzh,2,2,NA,NA,2,NA,NA,NA
_lsvUSZ3q,2,2,NA,NA,2,NA,NA,NA
_m5A9ZChj16,4,4,NA,NA,4,NA,NA,NA
_ME2oRwqV,3,NA,NA,NA,3,NA,NA,NA
_MOLX4kAk4,5,NA,NA,NA,5,NA,NA,NA
_mv7K3Lif,3,3,NA,NA,3,NA,NA,NA
_Mw7TFu9fBP,3,3,NA,NA,3,NA,NA,NA
_MzyGml16,2,NA,NA,NA,2,NA,NA,NA
_N_myh18QM,9,9,NA,NA,9,NA,NA,NA
_NF1V_wue,2,NA,NA,NA,2,NA,NA,NA
_nK3KvQfQ,3,NA,NA,NA,3,NA,NA,NA
_o1qYxw2wP,2,2,NA,NA,2,NA,NA,NA
_O5a7chWZ5R,5,5,NA,NA,5,NA,NA,NA
_onD8jCjb9,2,2,NA,NA,2,NA,NA,NA
_oNXeaOpUSK,3,3,NA,NA,3,NA,NA,NA
_p6C4qGBQ5X,5,5,NA,NA,5,NA,NA,NA
_pMyAsCV23u,2,2,NA,NA,2,NA,NA,NA
_POKoJfvzB,5,NA,NA,NA,5,NA,NA,NA
_PQbfu6SVo,4,NA,NA,NA,4,NA,NA,NA
_pRsqBnJh3,185,NA,NA,NA,185,NA,NA,NA
_py98gCHdu,2,2,NA,NA,2,NA,NA,NA
_qb_uo7th,2,2,NA,NA,2,NA,NA,NA
_QBEuUTBn,7,NA,NA,NA,7,NA,NA,NA
_QCCC5QeGcV,3,3,NA,NA,3,NA,NA,NA
_qPGSFubpy9,8,8,NA,NA,8,NA,NA,NA
_QRg7AngAub,7,7,NA,NA,7,NA,NA,NA
_QSV9Qwn8m5,5,5,NA,NA,5,NA,NA,NA
_RdsN5hWzK,8,NA,NA,NA,8,NA,NA,NA
_RW5mCsJbk,5,NA,NA,NA,5,NA,NA,NA
_spstxbrVuE,2,2,NA,NA,2,NA,NA,NA
_SZGUtstmJ5,2,2,NA,NA,2,NA,NA,NA
_T5UktWRn,3,3,NA,NA,3,NA,NA,NA
_TBgDm3_fj,3,3,NA,NA,3,NA,NA,NA
_tjobQmB4N_,5,5,NA,NA,5,NA,NA,NA
_tT8HhGZ0yj,3,3,NA,NA,3,NA,NA,NA
_tWMZXEg38,5,NA,NA,NA,5,NA,NA,NA
_UG1hPqfGZB,2,2,NA,NA,2,NA,NA,NA
_UQppExdGq,2,2,NA,NA,2,NA,NA,NA
_UVj1YVj_6n,11,11,NA,NA,11,NA,NA,NA
_v8AGa3xYGG,2,2,NA,NA,2,NA,NA,NA
_vAT0oKS_7,5,NA,NA,NA,5,NA,NA,NA
_Vc_I51Wy,4,NA,NA,NA,4,NA,NA,NA
_vdU71V92M,5,NA,NA,NA,5,NA,NA,NA
_vJ4JPtCA78,2,2,NA,NA,2,NA,NA,NA
_VqGHe_VXsv,5,5,NA,NA,5,NA,NA,NA
_vwLosEXU1,11,NA,NA,NA,11,NA,NA,NA
