tinyId,permissibleValue_str,permissibleValue_float,permissibleValue_str2,permissibleValue_int,valueMeaningDefinition_str,valueMeaningDefinition_float,valueMeaningDefinition_null,valueMeaningDefinition_str2,conceptId_str,conceptId_null,conceptSource_str,conceptSource_null,valueMeaningName_str,valueMeaningName_float,valueMeaningName_str2,valueMeaningName_int,valueMeaningName_null,codeSystemName_str,codeSystemName_null,valueMeaningCode_str,valueMeaningCode_float,valueMeaningCode_null,valueMeaningCode_int,codeSystemVersion_str,codeSystemVersion_float,codeSystemVersion_int
6AT_JFxD1,57,NA,NA,NA,57,NA,NA,NA,57,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNVoEdFQR0,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s0OB4q7Pxk,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_N_myh18QM,9,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cRUgcKV8co,11,NA,NA,NA,11,NA,NA,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QnDNUPpXA7,8,NA,NA,NA,8,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OuzUhJWlcv,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
UA2HPgkaZm,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F7tUoFbu6W,49,NA,NA,NA,49,NA,NA,NA,49,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6aTX076x7,8,NA,NA,NA,8,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
esCgkKPVWb,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
Z0BXaSHGHm,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
_W4xHINn6,17,NA,NA,NA,17,NA,NA,NA,17,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ms3VOlqu6,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUGtdPIPnb,9,NA,NA,NA,9,NA,NA,NA,9,NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k3tAnqwmIN,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3zD_R3149H,17,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NcirKiKTVN,11,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZktF8yi_G8,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
SwpF_HE9qU,8,NA,NA,NA,8,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
riU6uL7L2,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
F1cRMBIU5,35,NA,NA,NA,35,NA,NA,NA,35,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EykclEIcuy,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
hiHHXC9kQB,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
DglWc5g5Lj,21,NA,NA,NA,21,NA,NA,NA,21,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cPiK4Amjn5,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlJt89Bu14,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kSjnTjeV_N,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
t4KS6j8lZq,58,NA,NA,NA,58,NA,NA,NA,58,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6IIcFboHH,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA
Co2d1RyYS3,24,NA,NA,NA,24,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA
LiUWCWluP,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
U2mVPRRFQA,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0md12WGtZXE,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I75TihEyc,12,NA,NA,NA,12,NA,NA,NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imJYgqzrA4B,11,NA,NA,NA,11,NA,NA,NA,11,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E8BIucWzGm,10,NA,NA,NA,10,NA,NA,NA,10,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1JQMxiLIeo,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
RME88_Wg_hV,9,NA,NA,NA,9,NA,NA,NA,9,NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
j1rQtYb_Aw,11,NA,NA,NA,11,NA,NA,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ieG5_WJXb9,6,NA,NA,NA,6,NA,NA,NA,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PtRlg7yLP_,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
X_ClARoNH2,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hbgYw7HPpXW,35,NA,NA,NA,35,NA,NA,NA,35,NA,35,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mJEKBtpuQDH,35,NA,NA,NA,35,NA,NA,NA,29,NA,29,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fUVW2vFkLJD,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e4Dng_5sU66,8,NA,NA,NA,8,NA,NA,NA,8,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vE1KIuwi16,9,NA,NA,NA,9,NA,NA,NA,9,NA,9,NA,NA,NA,NA,NA,NA,9,NA,9,NA,NA,NA,NA,NA,NA
SeNJe41c0y,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
1nJ8wpWwV,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
aCWaERKDyw,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
VSmU85qKA7,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
4OvjZZF9P6,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6SezX_mKG,8,NA,NA,NA,8,NA,NA,NA,8,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KsdDdpJAeN4,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pJK7wEubIsN,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tBwqVw7eYym,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UxdJg6Cb4y,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
t6fYmyk_f,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
7gQYWYOJI,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
Qq8gfg3DHO,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
HYKkzgy09r,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
YsB4aDW97v,24,NA,NA,NA,24,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA
Z1gnf_Qxw7,12,NA,NA,NA,12,NA,NA,NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gkG5h_iEyb,6,NA,NA,NA,6,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9Ff25Sgf22,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8KJpZolr,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
8ZLLdL7OY7,69,NA,NA,NA,69,NA,NA,NA,69,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4s09bNcfo9,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
Fakc6Jy2x,9,NA,NA,NA,9,NA,NA,NA,9,NA,9,NA,NA,NA,NA,NA,NA,9,NA,9,NA,NA,NA,NA,NA,NA
LakF0YkywC,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,7,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA
f7xuCxSbar,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
6le70QEwf,15,NA,NA,NA,15,NA,NA,NA,15,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I9y_UAHhiM,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
cq12nC3ye8,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
zeaG0XT6Me,15,NA,NA,NA,15,NA,NA,NA,15,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puvoeo3c8a,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA
7LKV0BbMBd,6,NA,NA,NA,6,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ygzk8rLPN1,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YkNd91KnvL,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
uAbv9Qn36,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qqy65PaUlc,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oW_xo2JYx5,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ojlstTmIMj,10,NA,NA,NA,10,NA,NA,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BYI70msLLb,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sZPph_Xtb6,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAz4KULLkt,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
yEk5oBo6SQ,4,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
