tinyId,valueMeaningCode,valueMeaningDefinition
mkVLyuZEQ,5,5
QJPZY9aAX7,5,5
mkZK9pC7m,5,5
QJUbK5aC7m,5,5
QJr_tqp077,5,5
mJzWtqp07m,5,5
7yEbKcp0mQ,5,5
X1_WKcaRX7,5,5
m1gZKqa0QQ,5,5
XyZ_YcpCXQ,5,5
Q1X_t96RQX,5,5
whYL9gzDRY,8,8
u3xGwBCDQx,3,3
de_xdKIjWN,3,3
0MK1BGAZhI,2,2
bM3oq8lX6s,5,5
xDOkExDT1,3,3
5S2awM2zJB,5,5
Py2D4nlOQ,3,3
Shk_Tgxm64,5,5
OdGfXpkelv,5,5
VMMgfM_6G,4,4
cNs1UhblUX,4,4
DzSfsdXF_v,4,4
14cFPF2Nb8,5,5
E95IYUmSls,3,3
Pls9dZWSr,4,4
SIFq_rxa_b,3,3
9g_jRVYNqa,3,3
o6xywvxZfN,5,5
dcuYnF3ZVs,5,5
kzUGiZICth,3,3
ynXCBiht_,2,2
pqidN3A3y,3,3
kyfOjkBzE2,5,5
lCN2U0JYmv,3,3
qX16B3yCFu,3,3
1jVAfJ_hjG,5,5
48mKD632x,5,5
b3R7WJFTZ,3,3
aN6xcZ5Zef,7,7
UR0OWEE7aP,5,5
3fiYSSFzYF,3,3
n4MSZCaon,2,2
BXkAfJJ1n,4,4
YpI_6D5_Ja,2,2
adGZxLp7hy,3,3
kV0aR1kLm1,3,3
24a_QZ9rVt,2,2
F_Vsk6QDVb,3,3
_Xiqwu3uOY,8,8
w6fKo9PgsA,2,2
my5AJQLlX,4,4
BFOE2t1Sq,2,2
QmBtZmQb,4,4
EAv43aJa_,2,2
acDSMkmOK,2,2
X1FDtmGeQ,6,6
7k6IdQGgm,6,6
M7gfkYXLFt,4,4
xAggEgvD,9,9
bmlQpXwVy,2,2
ChAQoHZ55t,3,3
WkYKooqun,3,3
0rbgyYnCV,2,2
JI4bX_iNs1,2,2
XkNl9c60X7,5,5
7fOlWWuvmj,3,3
Ys0dsd35Yoy,7,7
9Wx7BE0J6V6,8,8
Sux9qphiw,4,4
XjRTOFeS4tD,10,3
GZVO_lZrE,2,2
OocJlUafoV,5,5
8UrceE5y7_,2,2
o3BgHnpgr,2,2
Hp_Xc_Y7ZJ,2,2
XQR594W70,3,3
WWbWl2sZ1P,4,4
Q1zzcM2IrJD,2,2
OPPLDI_a3,7,7
nVOQKbG42H,4,4
BKwplOqNU,4,4
i_5vRsA5iF,2,2
Qy6g2G3Lryw,3,3
qgL_zPqa,16,16
QkguqizjN,6,6
myydqofjV,5,5
AUd1wuF6t,8,8
mJSqujfoN,2,2
XylWOiMsV,5,5
HGyGooPl,11,11
Vbufd4W43,5,5
71lZioGo4,3,3
Goc8NRvq,5,5
mklG4sszj4,3,3
mkvbKsfiE,3,3
7kKWtoMo4,4,4
gOKM0_ycR,7,7
X9MmQ1Oq,2,2
Q1uWtsGiV,5,5
_k6YWO6Jd,15,15
B8A_j2cB,3,3
X1RDqszi4,4,4
Nw3kic0C,3,3
ENl7tMjRb,4,4
QJJzKozjN,10,10
71ldE9szoE,3,3
Xy4vdoMjV,4,4
gGur_P2NLK,14,14
M3so2zTKrx,6,6
7qAeQtWyRf,7,7
CaPKp_AIJA,3,3
fCQJtg4mg2,2,2
koHYfpCaK4,3,3
OqKLfdsGp_,3,3
MCSs_cn8qd,3,3
iPsJkWOpqb,10,10
5O2veQj5ks,3,3
aTCeTiQtPR,5,5
sSJsWhaiN,10,10
b4HbO_s6yi,2,2
ICUtDasN60,2,2
_QBEuUTBn,7,7
dQQLVi4F1H,2,2
2EFQue31aM,7,7
0BHiDu2Y7u,5,5
iBXnugRlvB,5,5
_l55yZsSER,5,5
Jh_eH_7Vy,5,5
xUSOV4YQKp,5,5
FdGAJgAAf,5,5
dpaHz2Wui2,5,5
YFWDR6Ra0v,5,5
hxj3gCqOXt,5,5
YqhdYnko7A,5,5
OYtqHV2d4Y,5,5
nyOJNinZWr,5,5
CJr3up8gN,5,5
Hx_V9r7WT_,5,5
Xl7lacL_n5,5,5
g_Dituiaiu,5,5
6ymhcPjBGK,5,5
YyZPuqfB1x,5,5
DnIiqlPFes,5,5
_H1GKOzHE6,5,5
OLT9piNVqJ,5,5
EQ0DqHRV3N,5,5
0nnSMAbwD,5,5
ZAKa7jeeQ,5,5
W3XExXYNe0,5,5
Pf76dVlyFk,5,5
XNeFa90epv,5,5
wvEQXnfQoS,5,5
Id_44r1_LD,5,5
llnl9fYyxO,5,5
kvTVF7xc4,5,5
WcFJDrdMpU,5,5
ErsMAHXwYr,5,5
VV0PydRkMX,5,5
HfrpC_OtMm,5,5
7dasUlbna,5,5
swYTJLwKgU,5,5
gHQWaFR3O,5,5
Lr_7meCkgA,5,5
NLyuDrR_x,5,5
aYkE_d16D3,5,5
YYW2unsuJa,5,5
JuNfD34vwh,5,5
eiITSyK3Uy,5,5
YCATDyYF4I,5,5
Zjc2WPPIPT,5,5
iT1iV1ME9B,5,5
i6zkIiKGE0,5,5
YV0GaR4AP,5,5
PqKFdFDKBh,5,5
xbZ_ZRUmRm,5,5
tXE1jxfIxg,5,5
gWQeUvrxDS,5,5
5VGeIuq_6A,5,5
dulixyr1Al,5,5
2yPQTRujZ5,5,5
FjkqCOnXHA,5,5
q2dsQYmvj2,5,5
H1BFacwksS,5,5
FaYdmuS1K8,5,5
lJdinqCWk0,5,5
9aOpjMPjQx,5,5
Du4Q_kgWKq,5,5
zDrsT0XJ9B,5,5
o2US4WnsR8,5,5
GH1PwDY1iw,5,5
dojXV9NEqv,5,5
dlBhR47ibu,5,5
qLE5ZdIaVN,5,5
YiXZ_FKmw6,5,5
_yqFGGKnH0,5,5
xjNNxSn7a4,5,5
Nq6V7kpgIz,5,5
iLk84C_bWP,5,5
U6B1PHLsn7,5,5
AhGhSbFKmS,5,5
BFo0k3IXY,5,5
_BtCFPw9Gf,5,5
JZrAQFompF,5,5
CXxrdStsWT,5,5
E7R7JK2w8k,5,5
YnAozcsuSy,5,5
NUp6fLTP2,5,5
BgRncE_HBz,5,5
nJ_5vG_HOK,5,5
vzCMYfS9VR,5,5
k83y9UKaaE,5,5
S67JTQcqB,5,5
ig4u3j4Rz0,5,5
CwOWQiOVdl,5,5
VEFFHtPMjG,5,5
2hn0i82V5k,5,5
GSUemCV31B,5,5
Q8oleNkK1T,5,5
IgZNSkoquS,5,5
6_6Myeizbl,5,5
2ACIV1jtOM,5,5
WZh0n7EtI5,5,5
enOvNZWIoU,5,5
Cry4lWhq7M,5,5
cNIzBYftL5,5,5
gyR2uOvWbP,5,5
o7_uupGW4d,5,5
hjvZX9fQNM,5,5
baEsedUcP8,5,5
g8gcElrxRC,5,5
8f_qYVI00g,5,5
2dwt8L3Za,5,5
BYpvioRLqS,5,5
k8bGmjDXpa,5,5
t47pEfZ58V,5,5
Aw99A8kk4R,5,5
eFwBga4mGt,5,5
uqCvlP4qFO,5,5
6qKhqdroPb,5,5
RxjloZGOe,5,5
_RW5mCsJbk,5,5
UQ1couKyiZ,5,5
2ulR6MnHu,5,5
swKGd45Vv,5,5
Bg3_vs2n1L,5,5
gKh13f4ci,5,5
vJK_lWLmf,5,5
dBRyi8SM0T,5,5
IJ0FB4K7pq,5,5
AcXO5Z9wju,5,5
OqCZnnSbHN,5,5
GbJ0Rppy4R,5,5
zvAdSWHF7I,5,5
kKoc4d63cO,5,5
8QmC9IybJr,5,5
p9wknY0f5,5,5
MV7BTHXf6,5,5
TRqNS4au1e,5,5
EHc1kzUAHl,5,5
gKWk59CPYk,5,5
0x8eUA7Hk8,5,5
6Cqn1raMNQ,5,5
mcBYMzURG,5,5
AJTS9KhIu,2,2
h9ebJ0ji_g,4,4
mrt9m3g9H,4,4
bWanpUnns7,4,4
HgvxifwzUP,4,4
cObBbq_0KP,2,2
Qy34gYJdn17l,2,2
PndNUqJRIr,2,2
1dwXAuhvz,3,3
0vrnPMOx9u,3,3
3dHnQhAede,3,3
fOBuUpANH,4,4
m1CEeFJd2yQx,3,3
XJKt8eIlm,5,5
gfKG53PWyq,5,5
EMvHfbek2d,5,5
GEMpep57QS,4,4
stZeUGx2a0,2,2
MSEYGDd82,2,2
LyzLUDb2CX,2,2
Q1a1_sGjN,3,3
QkJldjGiE,8,8
XyjzRfnLB1w,3,3
QJ9sMh8HJP,3,3
_MzyGml16,2,2
Qk4IOjMi4,3,3
7kxNIOjGj4,2,2
CEy2hJ_AoI,2,2
nPpE1YzMZV,2,2
b5KDh0W9YS,5,5
LFt6Uz0pRG,2,2
myHMOoGi4,4,4
HAEBunVJ,3,3
Q1VGuoGoE,4,4
7yl4OofjN,3,3
7yGV_jzs4,5,5
mJ2eOoMsE,3,3
X1PXOiziE,4,4
oviodTKK8,4,4
m1t7OjGoV,6,6
7yqHuiMj4,2,2
Jcbg6TYfC,2,2
JfFcXSGO6T,2,2
XkZZAMhIHkw,3,3
uV7Rd_2TfI,3,3
gXXgaLsjgJ,5,5
SiWblI_7M,2,2
TjqhIplqB7,3,3
6xZJQvZY2h,4,4
7xjPkYFM89,3,3
Su6bzsvRSP,3,3
_J9Bjngdj0,6,6
wrCroz_d4c,3,3
Q1D_qz38ryw,3,3
ObBgd4wCPAe,3,1
4Au0gE1VpU,12,12
y_KVSfO4x,2,2
pYwB5O7o1K,2,2
