tinyId,valueMeaningCode,valueMeaningDefinition
6AT_JFxD1,57,NA
GNVoEdFQR0,2,NA
s0OB4q7Pxk,7,NA
_N_myh18QM,9,NA
cRUgcKV8co,11,NA
QnDNUPpXA7,8,NA
UA2HPgkaZm,2,NA
F7tUoFbu6W,49,NA
C6aTX076x7,8,NA
_W4xHINn6,17,NA
ms3VOlqu6,7,NA
CUGtdPIPnb,9,NA
k3tAnqwmIN,4,NA
3zD_R3149H,17,NA
NcirKiKTVN,11,NA
SwpF_HE9qU,8,NA
F1cRMBIU5,35,NA
DglWc5g5Lj,21,NA
cPiK4Amjn5,5,NA
mlJt89Bu14,4,NA
t4KS6j8lZq,58,NA
U2mVPRRFQA,2,NA
0md12WGtZXE,7,NA
I75TihEyc,12,NA
imJYgqzrA4B,11,NA
E8BIucWzGm,10,NA
RME88_Wg_hV,9,NA
j1rQtYb_Aw,11,NA
ieG5_WJXb9,6,NA
X_ClARoNH2,4,NA
hbgYw7HPpXW,35,NA
mJEKBtpuQDH,35,NA
fUVW2vFkLJD,5,NA
e4Dng_5sU66,8,NA
4OvjZZF9P6,4,NA
C6SezX_mKG,8,NA
KsdDdpJAeN4,3,NA
pJK7wEubIsN,5,NA
tBwqVw7eYym,4,NA
Z1gnf_Qxw7,12,NA
gkG5h_iEyb,6,NA
9Ff25Sgf22,2,NA
8ZLLdL7OY7,69,NA
6le70QEwf,15,NA
zeaG0XT6Me,15,NA
7LKV0BbMBd,6,NA
ygzk8rLPN1,7,NA
uAbv9Qn36,7,NA
qqy65PaUlc,2,NA
oW_xo2JYx5,4,NA
ojlstTmIMj,10,NA
BYI70msLLb,4,NA
sZPph_Xtb6,3,NA
yEk5oBo6SQ,4,NA
_WgNHHiF50,2,NA
5OsXo1_sX,67,NA
3Uu0O02eiJe,5,NA
rGEh0ckdmr,2,NA
MdTTuSmDDX,2,NA
lbhNV9P4H3,4,NA
6cNamvYkkt,4,NA
SJJj11APDaz,7,NA
ho_5ASbKpE,9,NA
R62LLauN_A,5,NA
GOr1OFJAKC,8,NA
3DO9ttnND,11,NA
7JGeQd9C97,5,NA
mJUeyQdqC57,5,NA
XJlXO50q7,5,NA
m1Ze7_cR9Q,5,NA
X1xlXu9RqX,5,NA
XyYx1Q_5Aq7,5,NA
XJdeym_5R5m,5,NA
myvgym_5R9X,5,NA
0a4z8t2uH1t,6,NA
DQAXKXcA_W0,2,NA
bvD6BmAU487,2,NA
uQFBMKv11rS,2,NA
UP4SVBOzUYv,5,NA
Gg3TJoavAEQ,5,NA
UJwo_VkcGRR,5,NA
h481o5XNhee,3,NA
1AZBUsCrd3q,3,NA
QC2YBcOAKkB,3,NA
uFodP1ByKkJ,3,NA
Xe1NzMOCF21,3,NA
kV340tcr8rv,3,NA
A9fNRuAkKFs,3,NA
DZvceXQB__t,3,NA
UVOhH3yVoQm,3,NA
9EAqX0ddG2k,3,NA
XYeEXHE5XNH,5,NA
93Y8VPGSyDK,5,NA
OY1Ycb8wkBr,2,NA
wcWJTvrkktc,2,NA
aJCpgCXcJ12,2,NA
8DEuCKkMCQ5,5,NA
k7yAU_K9Cfu,5,NA
2jeoDPKEeO6,5,NA
UggsvnZgTaN,6,NA
SgKT7uPB52V,6,NA
s5sb1Yx2SjB,6,NA
2EVG7JawA4X,6,NA
GvhmaM_0ASN,6,NA
XFwBU5nBxpv,5,NA
uB6SKKQVMG7,6,NA
POuUzZNz1WR,6,NA
vRCajAorc_e,6,NA
F1n8CN3VGX1,6,NA
puJ1jYrEquQ,2,NA
X1ivbjT6I,2,NA
QJxjwZjTTU,2,NA
mk5JDOTp8,2,NA
fhv3_uf3OcY,4,NA
mrIQ7y_a,5,NA
h0H53OVrboZ,7,NA
DqC3RA88RTd,11,NA
oNcsxj5Q50o,11,NA
qdCa4tGRJWU,11,NA
rwuTXx2ux5K,6,NA
VW1xDO5dYJF,7,NA
OQzsrcPQUP5,13,NA
CXFjq7owyAj,9,NA
QgHtjK54pE1,6,NA
Qy5_wtT68,2,NA
XydmLXxHAz,2,NA
6N1t9GVd_,3,NA
7kzudwYaTL,2,NA
41J5q9Y5AJn,7,NA
ToZrcWGj753,7,NA
7yfebnEqC9X,5,NA
t_2DFPwAF,4,NA
mJGMHvYT6U,3,NA
mygzBDK66L,2,NA
7yWMrPtpTI,3,NA
QylDrwKTT8,4,NA
QkGDBPKaTI,4,NA
OMuIe7En,2,NA
mmnaRRnCAyO,3,NA
YGoxfohyFy,5,NA
1K6JR_ovz8O,2,NA
_dmabCfsRQ9,4,NA
0sH8H9Xyqmz,7,NA
7yhkGiT6U,2,NA
XyfL9_sp6U,5,NA
XkgFqbjaTI,3,NA
XyeOcWsa6L,13,NA
7OEaHgtqWm,3,NA
EMmcUM6YN,3,NA
36AzTTWd2,7,NA
X1MWbiFaTL,2,NA
iW4282PMEM,3,NA
XkWUAttTpL,5,NA
9hEYmKqFP,3,NA
nab1IwOY6,4,NA
QvvSTKocvUK,8,NA
k7QbaBsu6hq,66,NA
myfnMiTpU,4,NA
71H3fjp6U,2,NA
myx9ZsaaL,2,NA
mJWRnzi66I,5,NA
7JxInzoTpI,5,NA
m1Xhzsp68,3,NA
XJgQhzo6p8,3,NA
Xkx6MjapI,6,NA
7JW1TMsp6U,3,NA
7ykaGoTaU,3,NA
7Jl0Y_jaaI,8,NA
Xkf73GjapU,6,NA
m1ZrnzjT6U,2,NA
mJe02zopa8,11,NA
m1WinziapI,4,NA
Qys2ziTaL,2,NA
71T3GipTU,3,NA
mk3hGopT8,2,NA
Xy_q3zs66L,4,NA
XJWnnMj6aI,2,NA
X1Gi3MsaTL,2,NA
QJ_ahzsp6I,4,NA
Q1_LnMsa68,2,NA
XJuhfoTa8,2,NA
Xy9nzoa68,3,NA
m1fK2Gj6pU,3,NA
7klq3zipTL,7,NA
Q1lP3fj6aI,2,NA
XkK2foT6I,3,NA
7yPhGj6pL,22,NA
1_vBA0m5wOC,5,NA
7_hwS6EEtng,5,NA
du9vgGkbKnU,4,NA
vbHa1Nt08Bk,3,NA
AdEEzPzh6CV,8,NA
RcKjBg1mE3W,3,NA
OxkkXr0NyzJ,11,NA
Ad5Q737f_XC,3,NA
71OZPtpp8,3,NA
XkxNZo_aaU,3,NA
mJ4ZsdaaI,3,NA
XJf7Zs_a6L,2,NA
44vAA4_jPxE,5,NA
VeWKyAD8qTy,5,NA
OAgqu1Xn8eC,5,NA
wmaY4fNpjMk,5,NA
J809ut7CX2a,5,NA
nBuB74kPZOU,7,NA
c8JYhtNfw4N,5,NA
zHSKq9OQA,2,NA
3b7xhYQCj,2,NA
gTy21HSTPEx,3,NA
OgPN9E0Ke,2,NA
5mUWtUpA8b_,2,NA
xKVfX3A6kGA,6,NA
XrsKeH6EJCC,6,NA
lQXvLeVUc,3,NA
s37XfpH1R,2,NA
Su71nJ0K1WH,5,NA
MmDGF3GO5rJ,4,NA
5fdUKHfykdu,10,NA
p8kJNMwDnOu,4,NA
rIG5TuU1_,4,NA
tmOzQWUWp2a,4,NA
sXbHU0Noe,4,NA
J7XEUa6C2l,4,NA
lQTenvGB,4,NA
0x008ekd7Wm,2,NA
aOXn83M0Ccw,4,NA
32QiNXcsI,2,NA
Un4oF9kr6,10,NA
TKxEVA4v5x,3,NA
Dy0zJrodXb6,3,NA
ZD3aCDQRRdB,3,NA
qyaM_oJPjnJ,5,NA
S8WTXaOoBKa,5,NA
BAXmS5PojEK,2,NA
GYX_KKdhXgH,5,NA
PAPKx6eV6AA,3,NA
CKvtHwB4ARx,3,NA
tToZRcrAfyM,5,NA
VJxqek6Psnk,5,NA
2weVGg221S8,5,NA
c0MhZAN10GF,2,NA
K_USbMnTvZg,3,NA
kh_jnQNAsu6,3,NA
k6tu3Fu13Ks,5,NA
k2dCJhNMkEJ,5,NA
_GRRNxxXgaq,2,NA
aCGuEgOAmVh,5,NA
hbK2DxQbYTG,3,NA
cHmRdCg7HhJ,3,NA
ukRkv1Wq1Pe,5,NA
Z9DqVHqksG8,5,NA
rM71OwARaT5,5,NA
1H02k_dV_U7,2,NA
YGn7ydrNWdN,5,NA
CuAX2AEz4n1,5,NA
8ueMSBV7GRm,5,NA
Q8eUzJ7tG92,5,NA
kQdG1nZNg_e,5,NA
Z2mCj1KgPvN,5,NA
4Gpu8WOsZQ9,5,NA
KFO3jqZ8aFj,5,NA
hzGWRApXPqr,5,NA
S0hOhP6kx2b,5,NA
btFGF8CuY98,3,NA
jJcUYxtR_Wk,3,NA
RtsbZXwnzO1,3,NA
XNkhDW6m6AA,5,NA
rUUJjyyp52K,5,NA
ocyNevhAfTO,5,NA
kzvgJTHRrJx,2,NA
Yo3jXESEY1h,3,NA
ZGKDBanEaOE,3,NA
sWueA1vzo7T,5,NA
AhG2hnn_65B,5,NA
g2n3Audczyg,5,NA
dMc15bPw_Ga,2,NA
pK5QVp8RSR1,3,NA
CMbxQQjaOuR,3,NA
KRHAbhEfAfE,5,NA
Jv7sTzC3Vud,5,NA
1EdXZbS8q5Y,5,NA
2SXPPoa7fpM,2,NA
Vmw1t72qzKf,5,NA
CyN9FaThVvh,2,NA
MANz7fdKp7S,3,NA
joF3dRgNKw9,3,NA
N2eSBkeOQU5,5,NA
Ga5VAZOtCZp,5,NA
AuGDA0aaw0x,3,NA
SeeOt7p01hX,3,NA
SAOTKT4bSTC,5,NA
vb6CAxdbJjk,5,NA
Hx6VeAbB1T4,2,NA
mz0u8j1SEQK,5,NA
g0jdKz0uaPA,3,NA
WOF3AwABggg,3,NA
3s4G0aGFBAr,5,NA
behUD7qR3_K,5,NA
Hcy3ra7u0km,2,NA
kPqewAzvnSy,32,NA
9aG9JeKXx7T,32,NA
N1QQ52v_vP4,32,NA
UEMcjyJSVQM,32,NA
_539bM1spOt,32,NA
mbE9UQSfkU0,32,NA
Kb5XGXOzKfa,32,NA
6FktPT5tJT0,32,NA
B2pGpXwMeJP,32,NA
hzG35VcGxq0,32,NA
AcDV9ZtocBh,5,NA
HnzvYFnOFrk,5,NA
UuCdpZv55QR,5,NA
_tjobQmB4N_,5,NA
