Sex. A textual description of a person's sex at birth.	ezelurehr2
Sex at Birth. The physical sexual characteristics of the neonate at birth. A textual description of a person's sex at birth.	rGEh0ckdmr
Sex. Self-identified gender where gender is the assemblage of properties that distinguish people on the basis of the societal roles	Q1lYGnUrkv
Sex. 	71qxF89inig
Sex at Birth. The self-reported sex of the participant/subject at birth.	6zw3RJZINg
Sex of Participant. Used by the registry to generate the GUID	BFTXK85Q2tK
Sex of relative family member [PhenX]. 	m18_28qonsg
Biological sex. 	4Au0gE1VpU
Sex type. The sex of the subject/participant	gtqOBUXBf
"Sex [AHRQ]. The patient's documented sex (gender) on arrival at the hospital. This term was created for the ""Patient gender"" data element on the Agency for Healthcare Research and Quality (AHRQ) Healthcare Event Reporting Form (HERF), version 1.2. [https://ushik.ahrq.gov/ViewItemDetails?&system=mdr&itemKey=169064000&enableAsynchronousLoading=true]"	71ExiROCjHf
Sex type code. Code for the subject/participant's sex	2dyYtsn9
Sex of Family member. Sex of a family member, including sibling, parent, child, or other family member. To specify the family member relation, use Relationship to patient [LOINC: 54136-7].	E4t_5fkSQ
Sex [USSG-FHT]. Sex of the patient, created for the U.S. Surgeon General's Family Health History Portrait.	LZiKSObKa
Societal sex. This term was created for the U.S. Department of Health and Human Services (HHS) 2015 Edition Health Information Technology (Health IT) Certification Criteria final rule. [https://www.federalregister.gov/articles/2015/10/16/2015-25597/2015-edition-health-information-technology-health-it-certification-criteria-2015-edition-base]	J8ci_CzOgQ
Sex at Birth Type. Self-reported sex of the participant/subject at birth.	mygNSAd6TL
Animal sex type. Type of animal species sex as determined by observation	71lZioGo4
Sex genotype type. The difference between male and female, based upon the interactions between genes and between the genotype and the environment. Genotype is identified based on the individual's reproductive organs and functions assigned by chromosomal complement.	Rx2D0Tt5Uwd
Birth sex assigned type. Self-reported phenotypic sex of participant/subject, assigned at birth.	DmdfRvS3o
How many times in the last year have you physically hurt or threatened to hurt someone to get them to have sex with you [Denver Youth Survey]. 	XyFeit9s2jg
Sex hormones test type. The type of test performed in the Sex hormones lab panel.	mk_pDdYapU
Biological sex-other, specify. 	ycXI6Qb_jf
Over the past 4 weeks how often were you able to get an erection during sexual activity [PhenX]. 	7kSgk_cohix
Sex decreased interest indicator. Indicator of whether the patient/participant has experienced decreased interest in sex.	m1mZIvXgr0z
Sex at birth other text. Text describing another variety of the subject's self-proclaimed sex at his/her birth.	mJbVrC_a68
Sex in the last year - Reported. A patient's self-report of sexual activity in the last 12 months.	7kesFS5ZS8
Ever had sex - Reported. A patient's self-report of ever being sexually active.	XkGctrqWr8
Phenotypic sex child type. Sex of the participant/subject's child based on physical examination	_Mw7TFu9fBP
Animal species sex type. Type of animal species sex as determined by observation	mkvbKsfiE
